N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.5,80.0,6.5,200.0,rice
85,58,41,21.0,82.0,6.7,210.0,rice
60,55,44,23.0,60.0,7.0,150.0,maize
55,40,38,22.5,65.0,6.8,140.0,maize
40,35,30,25.0,55.0,6.2,120.0,wheat
35,30,25,24.0,50.0,6.0,110.0,wheat
100,50,48,27.0,85.0,6.9,220.0,sugarcane
95,45,46,28.0,88.0,7.1,230.0,sugarcane
70,60,50,19.0,75.0,6.4,180.0,cotton
65,55,45,18.5,78.0,6.3,170.0,cotton
80,40,35,26.0,70.0,6.8,160.0,barley
75,38,33,27.5,72.0,6.7,165.0,barley
50,25,20,30.0,60.0,6.5,100.0,soybean
45,20,18,29.0,62.0,6.4,105.0,soybean
110,60,55,22.0,90.0,7.2,240.0,banana
105,58,53,23.5,92.0,7.1,245.0,banana
120,65,60,24.0,95.0,7.3,250.0,sugarbeet
115,63,58,25.0,97.0,7.2,255.0,sugarbeet
130,70,65,21.0,85.0,7.0,260.0,groundnut
125,68,63,22.0,87.0,6.9,265.0,groundnut
